time_fs,pop_1,pop_2,pop_3,coherence
8.917835671342685089e+01,6.604194945927208682e-01,3.230199732696289322e-02,3.072785080803169810e-01,1.392332307269749325e+00
9.018036072144288084e+01,6.069158231783768898e-01,4.407111959779019816e-02,3.490130572238334672e-01,1.495618024811424807e+00
9.118236472945891080e+01,5.858965589804223661e-01,2.202933364323599041e-01,1.938101045872182571e-01,1.805731067251217237e+00
9.218436873747494076e+01,5.090927286891255843e-01,4.682935333896226515e-01,2.261373792125210766e-02,1.396941048105785788e+00
9.318637274549097071e+01,5.525259260934504146e-01,2.062003098954849345e-01,2.412737640110651227e-01,1.851403657443294826e+00
9.418837675350700067e+01,5.800377339780284913e-01,5.501461349371383064e-02,3.649476525282583372e-01,1.560841668526803838e+00
9.519038076152303063e+01,6.886078995385870316e-01,2.753040325834014979e-02,2.838616972030735819e-01,1.336415053053273683e+00
9.619238476953907480e+01,7.590880361090637241e-01,1.092673810112300137e-01,1.316445828797070117e-01,1.448102522365994016e+00
9.719438877755510475e+01,5.495776677473036553e-01,4.275801731128305860e-01,2.284215913986593557e-02,1.391252238902978222e+00
9.819639278557113471e+01,4.122787335001890097e-01,2.926650851857447999e-01,2.950561813140664125e-01,1.979992170402683049e+00
9.919839679358716467e+01,4.529862856164160179e-01,1.175833394473688454e-01,4.294303749362156086e-01,1.793097297909473253e+00
1.002004008016031946e+02,6.921679912985037042e-01,7.041892001617749974e-02,2.374130886853194622e-01,1.510901746139546642e+00
1.012024048096192246e+02,9.039914353329074892e-01,2.422474785304933043e-02,7.178381681404398529e-02,8.888452806682024532e-01
1.022044088176352545e+02,6.577593640029920641e-01,3.198584932277914739e-01,2.238214276921677778e-02,1.329257791222665963e+00
1.032064128256512845e+02,3.479247904519136014e-01,3.267149865293915711e-01,3.253602230186949940e-01,1.999286883544381332e+00
1.042084168336673287e+02,3.298892350020320441e-01,1.864212465255741247e-01,4.836895184723942753e-01,1.895452845813102583e+00
1.052104208416833586e+02,6.238896108885019220e-01,1.635930484704536947e-01,2.125173406410448829e-01,1.740114883244187505e+00
1.062124248496993886e+02,9.713051883945859055e-01,1.748150133093304354e-03,2.694666147232170281e-02,4.197042653952746116e-01
1.072144288577154185e+02,7.862036266915523042e-01,1.837632799208100409e-01,3.003309338763829328e-02,1.216102713998581164e+00
