time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
8.0300000000e+02,5.2056868674e-03,1.0365689451e-02,7.4893993971e-01,1.8425482670e-01,2.1770177773e-02,2.1470894052e-03,2.7316590095e-02,2.3408016409e+00,1.2534782270e-01,5.5297670854e+00
8.0400000000e+02,5.1837266691e-03,1.0063783803e-02,7.2791198336e-01,2.0217183733e-01,2.3531831254e-02,2.0826892849e-03,2.9054148301e-02,2.4026209904e+00,2.0642822994e-01,4.7764006528e+00
8.0500000000e+02,1.1251678729e-03,4.5241388285e-03,4.1431513587e-01,4.7219630462e-01,5.1542884016e-02,1.3478504320e-03,5.4948518364e-02,2.7241221662e+00,2.8664560404e-01,4.6485980112e+00
8.0600000000e+02,7.9212342985e-03,1.4045233867e-02,9.5848151318e-01,3.8576021097e-03,3.0366108580e-03,2.6363640777e-03,1.0021441609e-02,1.1176138303e+00,1.3641004567e-01,4.6258254141e+00
8.0700000000e+02,5.4172732704e-04,3.6613949361e-03,3.6450365339e-01,5.1504029668e-01,5.5963739615e-02,1.2274382267e-03,5.9061749826e-02,2.6856956625e+00,1.4617409082e-01,5.7073840411e+00
8.0800000000e+02,6.1563784854e-03,1.1491909120e-02,8.1102827634e-01,1.3069827334e-01,1.6148192608e-02,2.2829273970e-03,2.2194042714e-02,2.1385252479e+00,3.1823232280e-02,5.3341455333e+00
8.0900000000e+02,4.1177986878e-03,8.8099384278e-03,6.6020368087e-01,2.6062315387e-01,2.9664751280e-02,1.9351645210e-03,3.4645512350e-02,2.5473135058e+00,1.5403479103e-02,4.0353973303e+00
8.1000000000e+02,1.9367906560e-03,5.4859519421e-03,4.6516888638e-01,4.2826279419e-01,4.6942786351e-02,1.4591057377e-03,5.0743684746e-02,2.7428771246e+00,9.5138675284e-02,4.9430580661e+00
8.1100000000e+02,7.7204089984e-03,1.3778854004e-02,9.4115139787e-01,1.8714928257e-02,4.5955974401e-03,2.5965238554e-03,1.1442289577e-02,1.3651268331e+00,1.4393861767e-01,5.1317465672e+00
8.1200000000e+02,2.1227399026e-04,3.3017204882e-03,3.4214861080e-01,5.3425379178e-01,5.8009843235e-02,1.1805338787e-03,6.0893225825e-02,2.6475971171e+00,2.5560329945e-01,5.2848823542e+00
8.1300000000e+02,7.1144062520e-03,1.2588544229e-02,8.6504918488e-01,8.3887512868e-02,1.1248722604e-02,2.3984920176e-03,1.7713137149e-02,1.9049259906e+00,2.0887527933e-01,5.1720063944e+00
8.1400000000e+02,3.1532532014e-03,7.6522435733e-03,5.9165027411e-01,3.1960384511e-01,3.5873455723e-02,1.7841241807e-03,4.0282804094e-02,2.6500167968e+00,1.8579912404e-01,5.6181818066e+00
