Time_fs,Coherence_l1,QFI,Entropy_VN,Purity,Linear_Entropy,Bipartite_Entanglement,Multipartite_Entanglement,Pop_Site_1,Pop_Site_2,Pop_Site_3,Pop_Site_4,Pop_Site_5,Pop_Site_6,Pop_Site_7
3.20000000e+01,1.48185063e+00,3.12661566e+04,9.35980518e-03,9.97647971e-01,2.74403422e-03,8.97165364e-03,7.19463382e-03,7.86060554e-01,2.01873717e-01,2.58479508e-03,1.35649885e-03,1.83751347e-03,4.21706667e-03,2.06985509e-03
3.30000000e+01,1.51818032e+00,3.11371402e+04,1.02132593e-02,9.97401946e-01,3.03106266e-03,9.79322552e-03,7.85315731e-03,7.75833513e-01,2.11422502e-01,2.80035637e-03,1.45561279e-03,1.96877525e-03,4.38201147e-03,2.13722867e-03
3.40000000e+01,1.55225782e+00,3.10923175e+04,1.07800182e-02,9.97240698e-01,3.21918547e-03,1.02860158e-02,8.25401764e-03,7.65698842e-01,2.20916050e-01,3.01734881e-03,1.54575924e-03,2.10166335e-03,4.51773562e-03,2.20260174e-03
3.50000000e+01,1.58473574e+00,3.08502999e+04,1.20386883e-02,9.96865648e-01,3.65674416e-03,1.14936778e-02,9.22094199e-03,7.56012823e-01,2.29938007e-01,3.25834614e-03,1.63714163e-03,2.23664803e-03,4.65757186e-03,2.25946216e-03
3.60000000e+01,1.62169668e+00,3.07486554e+04,1.27762193e-02,9.96644201e-01,3.91509935e-03,1.22017064e-02,9.78641806e-03,7.44130431e-01,2.41083947e-01,3.53113762e-03,1.74739496e-03,2.37954321e-03,4.79429932e-03,2.33324709e-03
3.70000000e+01,1.65436794e+00,3.04911774e+04,1.37777580e-02,9.96340792e-01,4.26907601e-03,1.31473406e-02,1.05498831e-02,7.32981661e-01,2.51568110e-01,3.77688787e-03,1.85206659e-03,2.52231584e-03,4.90408525e-03,2.39487399e-03
3.80000000e+01,1.68559543e+00,3.02846537e+04,1.34259947e-02,9.96456024e-01,4.13463848e-03,1.27584919e-02,1.02405887e-02,7.23378603e-01,2.60459938e-01,4.06367355e-03,1.95511774e-03,2.68089720e-03,5.01127065e-03,2.45050027e-03
3.90000000e+01,1.71628445e+00,3.01181272e+04,1.47715362e-02,9.96039242e-01,4.62088478e-03,1.40836811e-02,1.13002653e-02,7.13103824e-01,2.70006244e-01,4.37478745e-03,2.07056081e-03,2.84370287e-03,5.12002922e-03,2.48085147e-03
4.00000000e+01,1.74351094e+00,2.99600201e+04,1.50421037e-02,9.95962298e-01,4.71065190e-03,1.43224877e-02,1.14920535e-02,7.03194225e-01,2.79285382e-01,4.65926996e-03,2.17446085e-03,2.97622652e-03,5.20155943e-03,2.50887617e-03
4.10000000e+01,1.77099459e+00,2.97102142e+04,1.55858305e-02,9.95792544e-01,4.90869890e-03,1.48349397e-02,1.19032444e-02,6.93111541e-01,2.88690689e-01,4.95546205e-03,2.27674755e-03,3.11521298e-03,5.30739913e-03,2.54294808e-03
4.20000000e+01,1.79783753e+00,2.94984231e+04,1.57912365e-02,9.95731388e-01,4.98004763e-03,1.49871690e-02,1.20283576e-02,6.83774388e-01,2.97313170e-01,5.28360821e-03,2.38635069e-03,3.27524983e-03,5.38876988e-03,2.57846287e-03
4.30000000e+01,1.82435326e+00,2.92696694e+04,1.70760405e-02,9.95323038e-01,5.45645567e-03,1.62585833e-02,1.30377790e-02,6.73908314e-01,3.06444004e-01,5.61720936e-03,2.50096671e-03,3.45435106e-03,5.47350410e-03,2.60165042e-03
