time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_L9,pop_site1_L11
3.0000000000e+01,7.8166557394e-01,1.4175890119e-01,2.5284884825e-02,2.1164509560e-02,8.2182946419e-03,2.1681422993e-02,2.2641284898e-04,2.3053705708e+00,7.8166557394e-01,7.8166557394e-01
3.2000000000e+01,8.6950266741e-01,5.0247125493e-02,3.1539973903e-02,1.5779409308e-02,8.2841272500e-03,2.1981704908e-02,2.6649917322e-03,2.0651048633e+00,8.6950266741e-01,8.6950266741e-01
3.4000000000e+01,4.4752503992e-01,4.8698211232e-01,2.9616681590e-02,5.4806039383e-03,2.0554290566e-02,1.9202522549e-03,7.9210194167e-03,2.5688072746e+00,4.4752503992e-01,4.4752503992e-01
3.6000000000e+01,3.9449871538e-01,5.6695153066e-01,1.7666170928e-02,5.2434014561e-03,5.0190606009e-03,6.1446926590e-03,4.4764283183e-03,2.2490718049e+00,3.9449871538e-01,3.9449871538e-01
3.8000000000e+01,8.5378078864e-01,1.1697819691e-01,1.1148971405e-02,1.0838669064e-02,2.1698691424e-03,3.2163080786e-03,1.8671967635e-03,1.6316184770e+00,8.5378078864e-01,8.5378078864e-01
4.0000000000e+01,8.6266740622e-01,8.2053570194e-02,2.1862784322e-02,1.3314010878e-02,1.1781609844e-02,3.3916779866e-03,4.9289405590e-03,1.9428838059e+00,8.6266740622e-01,8.6266740622e-01
4.2000000000e+01,3.9070816199e-01,5.3609783381e-01,3.1465215307e-02,9.3333709493e-03,1.8759919368e-02,1.1490044446e-02,2.1454541264e-03,2.6930262791e+00,3.9070816199e-01,3.9070816199e-01
4.4000000000e+01,4.3776243788e-01,5.1487123194e-01,1.9101040816e-02,5.1106026728e-03,2.2015541277e-02,9.2376825127e-04,2.1537716714e-04,2.1766720650e+00,4.3776243788e-01,4.3776243788e-01
4.6000000000e+01,9.0190225436e-01,6.8678054842e-02,2.4387355833e-03,8.6180078481e-03,5.9819050834e-03,1.1397438195e-02,9.8360408491e-04,1.4631140826e+00,9.0190225436e-01,9.0190225436e-01
4.8000000000e+01,8.2358125270e-01,1.1903565990e-01,8.5800361270e-03,1.2868972024e-02,6.4728945359e-03,2.4924127592e-02,4.5370571236e-03,2.1127013948e+00,8.2358125270e-01,8.2358125270e-01
