time_fs,pop_site1_L9,pop_site2_L9,pop_site1_L10,pop_site2_L10,pop_site1_L11,pop_site2_L11
50.0,0.6510223090924379,0.3489776909075619,0.6510223090924335,0.3489776909075661,0.6510223090924341,0.348977690907566
50.5,0.6474431646466708,0.3525568353533292,0.6474431646466658,0.35255683535333393,0.6474431646466661,0.3525568353533337
51.0,0.6447670186137614,0.35523298138623866,0.6447670186137557,0.3552329813862443,0.644767018613756,0.35523298138624393
51.5,0.6422046371651203,0.3577953628348799,0.6422046371651141,0.3577953628348861,0.6422046371651144,0.3577953628348857
52.0,0.6393445859695357,0.3606554140304647,0.6393445859695284,0.3606554140304719,0.6393445859695286,0.36065541403047136
52.5,0.6369258929386166,0.3630741070613834,0.6369258929386082,0.3630741070613918,0.6369258929386087,0.36307410706139126
53.0,0.6347080038360435,0.3652919961639565,0.634708003836034,0.3652919961639659,0.6347080038360345,0.36529199616396546
53.5,0.6332413509376102,0.36675864906238953,0.6332413509375995,0.36675864906240047,0.6332413509375999,0.3667586490624
54.0,0.6321141904878332,0.36788580951216676,0.6321141904878209,0.36788580951217903,0.6321141904878212,0.36788580951217864
54.5,0.6314935970887617,0.3685064029112382,0.6314935970887477,0.368506402911252,0.6314935970887483,0.3685064029112514
55.0,0.6305733414094442,0.36942665859055607,0.6305733414094284,0.3694266585905716,0.630573341409429,0.36942665859057117
55.5,0.6285800104968922,0.37141998950310773,0.628580010496875,0.37141998950312516,0.6285800104968753,0.3714199895031245
56.0,0.626343917588743,0.3736560824112573,0.6263439175887231,0.37365608241127723,0.6263439175887234,0.37365608241127657
56.5,0.6239479466372208,0.37605205336277947,0.6239479466371983,0.37605205336280195,0.6239479466371987,0.37605205336280123
57.0,0.6219704947634198,0.37802950523658035,0.6219704947633944,0.37802950523660545,0.6219704947633953,0.37802950523660506
57.5,0.6196866718851947,0.3803133281148055,0.6196866718851661,0.3803133281148338,0.619686671885167,0.38031332811483315
58.0,0.616931858904637,0.38306814109536313,0.6169318589046049,0.38306814109539533,0.6169318589046053,0.3830681410953945
58.5,0.6139430388049699,0.38605696119502997,0.6139430388049341,0.386056961195066,0.613943038804935,0.38605696119506516
59.0,0.6110527179014058,0.3889472820985943,0.6110527179013652,0.3889472820986346,0.6110527179013662,0.3889472820986338
59.5,0.6078601389573723,0.39213986104262727,0.6078601389573272,0.392139861042673,0.6078601389573283,0.39213986104267207
60.0,0.6042206757820411,0.395779324217959,0.6042206757819901,0.39577932421801004,0.6042206757819911,0.39577932421800893
60.5,0.6008443465022321,0.39915565349776805,0.6008443465021748,0.3991556534978253,0.600844346502176,0.399155653497824
61.0,0.5967012361164105,0.4032987638835896,0.5967012361163463,0.40329876388365377,0.5967012361163476,0.4032987638836525
61.5,0.5916197733969093,0.4083802266030908,0.5916197733968375,0.4083802266031622,0.5916197733968391,0.4083802266031609
62.0,0.5870398373127779,0.4129601626872223,0.5870398373126982,0.4129601626873022,0.5870398373126995,0.4129601626873006
62.5,0.5828107333335755,0.41718926666642453,0.5828107333334867,0.41718926666651346,0.5828107333334883,0.41718926666651174
63.0,0.5785390841645731,0.4214609158354271,0.5785390841644741,0.42146091583552586,0.578539084164476,0.421460915835524
63.5,0.574518840753949,0.4254811592460511,0.5745188407538391,0.42548115924616087,0.5745188407538413,0.42548115924615887
64.0,0.5705215178398941,0.4294784821601061,0.5705215178397722,0.4294784821602279,0.5705215178397743,0.4294784821602256
64.5,0.5671457834601561,0.4328542165398441,0.5671457834600208,0.43285421653997913,0.5671457834600236,0.43285421653997663
65.0,0.5644494841383255,0.4355505158616745,0.5644494841381764,0.4355505158618238,0.564449484138179,0.43555051586182103
65.5,0.5622176810517489,0.437782318948251,0.5622176810515841,0.4377823189484161,0.5622176810515871,0.437782318948413
66.0,0.5606714185273198,0.43932858147268,0.5606714185271378,0.4393285814728622,0.5606714185271413,0.4393285814728587
66.5,0.5591242684040268,0.44087573159597343,0.559124268403826,0.44087573159617377,0.5591242684038299,0.4408757315961701
67.0,0.557598684270997,0.4424013157290031,0.5575986842707764,0.4424013157292237,0.5575986842707804,0.4424013157292194
67.5,0.5566314109947664,0.4433685890052334,0.5566314109945237,0.4433685890054763,0.5566314109945284,0.4433685890054719
68.0,0.5564082276077686,0.44359177239223146,0.5564082276075019,0.4435917723924979,0.556408227607507,0.44359177239249303
68.5,0.5573135934259978,0.44268640657400177,0.5573135934257054,0.44268640657429476,0.5573135934257109,0.44268640657428915
69.0,0.5587110760759255,0.4412889239240745,0.5587110760756049,0.44128892392439534,0.5587110760756109,0.4412889239243894
69.5,0.5598794291550736,0.44012057084492645,0.5598794291547219,0.4401205708452781,0.5598794291547285,0.4401205708452716
70.0,0.5602561395182607,0.43974386048173925,0.5602561395178751,0.4397438604821249,0.5602561395178823,0.4397438604821174
70.5,0.560231566135729,0.43976843386427084,0.5602315661353067,0.43976843386469344,0.5602315661353144,0.43976843386468534
71.0,0.5600833466412319,0.4399166533587681,0.5600833466407693,0.43991665335923086,0.560083346640778,0.4399166533592223
71.5,0.5608126765789261,0.43918732342107375,0.5608126765784197,0.43918732342158007,0.5608126765784297,0.43918732342157035
72.0,0.5620086005123037,0.4379913994876965,0.5620086005117501,0.4379913994882502,0.5620086005117613,0.4379913994882392
72.5,0.5637787832601958,0.436221216739804,0.5637787832595907,0.43622121674040926,0.5637787832596027,0.43622121674039704
73.0,0.5660903598652159,0.43390964013478434,0.5660903598645551,0.43390964013544486,0.5660903598645682,0.4339096401354317
73.5,0.5684819416623995,0.4315180583376006,0.568481941661678,0.431518058338322,0.5684819416616927,0.4315180583383074
74.0,0.5706098051546679,0.4293901948453323,0.5706098051538799,0.42939019484612,0.5706098051538963,0.42939019484610375
74.5,0.5724017839118399,0.4275982160881602,0.57240178391098,0.42759821608901993,0.5724017839109976,0.4275982160890022
75.0,0.5745607291677455,0.4254392708322544,0.5745607291668073,0.4254392708331925,0.574560729166827,0.42543927083317307
75.5,0.5773071838164175,0.4226928161835824,0.5773071838153945,0.42269281618460564,0.5773071838154162,0.422692816184584
76.0,0.5796981701514724,0.42030182984852776,0.5796981701503565,0.4203018298496436,0.5796981701503805,0.42030182984961967
76.5,0.5825283244224263,0.4174716755775737,0.5825283244212096,0.41747167557879045,0.5825283244212363,0.4174716755787642
77.0,0.5851495127557439,0.41485048724425605,0.5851495127544172,0.4148504872455827,0.5851495127544467,0.4148504872455535
77.5,0.5880182349369335,0.41198176506306655,0.5880182349354872,0.41198176506451273,0.5880182349355195,0.41198176506448037
78.0,0.5917518420499565,0.4082481579500437,0.591751842048381,0.4082481579516189,0.5917518420484166,0.4082481579515835
78.5,0.5967227044823642,0.40327729551763564,0.5967227044806493,0.4032772955193508,0.5967227044806885,0.40327729551931146
79.0,0.6015927862277337,0.3984072137722661,0.6015927862258655,0.3984072137741341,0.6015927862259093,0.3984072137740905
79.5,0.6064078205756189,0.393592179424381,0.6064078205735839,0.39359217942641583,0.606407820573632,0.3935921794263679
80.0,0.6123354138143094,0.3876645861856907,0.6123354138120941,0.387664586187906,0.6123354138121472,0.3876645861878531
