time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
1.7050000000e+02,4.8387910628e-01,4.2581102938e-01,4.2888453508e-02,5.0435072820e-03,3.4079042055e-02,2.1153050530e-04,8.0873309925e-03,2.6685574817e+00,4.8387910628e-01,2.6685574817e+00
1.7100000000e+02,8.7086873388e-01,7.7761490820e-02,8.3858097347e-03,2.8735516021e-02,1.3585586495e-02,3.5254003936e-04,3.1032301168e-04,1.6442006074e+00,8.7086873388e-01,1.6442006074e+00
1.7150000000e+02,3.3668539745e-01,5.8530891943e-01,2.9339421128e-02,3.1294240713e-03,3.2716726087e-02,2.3395450193e-03,1.0480566811e-02,2.6257901180e+00,3.3668539745e-01,2.6257901180e+00
1.7200000000e+02,9.7697515375e-01,9.4386797427e-04,9.1896126520e-05,5.4059952751e-04,2.8523011298e-04,2.0415917941e-02,7.4733457158e-04,5.3534519687e-01,9.7697515375e-01,5.3534519687e-01
1.7250000000e+02,3.5037004864e-01,5.8723147608e-01,3.0891697551e-02,2.5998796777e-03,1.5287725315e-02,7.0411663290e-03,6.5780064071e-03,2.5105283845e+00,3.5037004864e-01,2.5105283845e+00
1.7300000000e+02,8.1790444161e-01,1.1871741618e-01,9.8837007223e-03,3.1338621508e-02,7.0352923297e-03,1.1425063569e-02,3.6954640722e-03,2.1574933054e+00,8.1790444161e-01,2.1574933054e+00
1.7350000000e+02,5.2667025151e-01,3.7013569058e-01,4.0518252809e-02,9.1605374378e-03,3.8060030479e-02,1.2673314417e-02,2.7819227695e-03,2.9661518984e+00,5.2667025151e-01,2.9661518984e+00
1.7400000000e+02,6.1759084450e-01,3.4144032162e-01,9.5537915183e-03,2.4841761634e-03,2.4164542299e-02,1.0247029441e-03,3.7416209609e-03,2.1202138235e+00,6.1759084450e-01,2.1202138235e+00
1.7450000000e+02,8.2319182225e-01,1.5945845076e-01,9.9041152584e-03,4.5229413988e-03,1.1819141344e-03,1.1669026684e-03,5.7385353057e-04,1.4520055251e+00,8.2319182225e-01,1.4520055251e+00
1.7500000000e+02,3.8167122979e-01,5.6211749353e-01,6.6927063330e-03,1.3045494796e-02,2.3225060775e-02,7.3968789154e-03,5.8511358642e-03,2.5286186735e+00,3.8167122979e-01,2.5286186735e+00
1.7550000000e+02,9.1126657863e-01,8.0884119982e-03,2.8620055778e-02,1.4500973089e-02,6.5771977929e-03,3.0696372719e-02,2.5040998834e-04,1.5800748199e+00,9.1126657863e-01,1.5800748199e+00
